iter	Passed	Remaining
1516	9324	52142
1517	9332	52145
1518	9340	52150
1519	9348	52154
1520	9355	52152
1521	9361	52145
1522	9367	52136
1523	9372	52124
1524	9380	52131
1525	9388	52134
1526	9397	52144
1527	9405	52147
1528	9411	52140
1529	9415	52124
1530	9421	52119
1531	9429	52120
1532	9437	52123
1533	9444	52121
1534	9448	52106
1535	9454	52100
1536	9458	52082
1537	9462	52064
1538	9466	52044
1539	9471	52029
1540	9474	52008
1541	9478	51990
1542	9482	51970
1543	9487	51959
1544	9491	51939
1545	9495	51921
1546	9498	51902
1547	9502	51883
1548	9506	51866
1549	9510	51846
1550	9514	51831
1551	9518	51813
1552	9526	51816
1553	9535	51823
1554	9543	51827
1555	9551	51836
1556	9557	51827
1557	9563	51818
1558	9568	51808
1559	9574	51802
1560	9583	51810
1561	9589	51802
1562	9595	51796
1563	9600	51785
1564	9604	51768
1565	9609	51752
1566	9613	51735
1567	9618	51722
1568	9622	51707
1569	9626	51690
1570	9630	51673
1571	9634	51654
1572	9639	51641
1573	9643	51625
1574	9647	51607
1575	9651	51590
1576	9655	51571
1577	9659	51555
1578	9663	51537
1579	9667	51518
1580	9671	51500
1581	9675	51483
1582	9678	51464
1583	9682	51445
1584	9686	51426
1585	9690	51407
1586	9694	51391
1587	9698	51373
1588	9702	51356
1589	9706	51340
1590	9711	51326
1591	9717	51322
1592	9724	51320
1593	9728	51305
1594	9737	51311
1595	9745	51314
1596	9751	51311
1597	9757	51304
1598	9764	51300
1599	9772	51307
1600	9781	51313
1601	9786	51302
1602	9792	51294
1603	9796	51280
1604	9801	51265
1605	9805	51247
1606	9810	51239
1607	9814	51218
1608	9817	51199
1609	9821	51182
1610	9825	51164
1611	9829	51147
1612	9833	51130
1613	9838	51116
1614	9842	51101
1615	9847	51089
1616	9852	51079
1617	9860	51080
1618	9868	51085
1619	9875	51086
1620	9882	51084
1621	9888	51075
1622	9893	51063
1623	9899	51058
1624	9908	51067
1625	9916	51070
1626	9922	51065
1627	9928	51058
1628	9934	51050
1629	9939	51038
1630	9948	51048
1631	9958	51060
1632	9964	51053
1633	9969	51043
1634	9973	51028
1635	9980	51024
1636	9986	51018
1637	9990	51001
1638	9994	50983
1639	9998	50968
1640	10001	50948
1641	10005	50929
1642	10009	50911
1643	10012	50893
1644	10016	50875
1645	10020	50858
1646	10024	50841
1647	10028	50825
1648	10033	50811
1649	10037	50794
1650	10040	50776
1651	10045	50760
1652	10048	50741
1653	10052	50726
1654	10056	50709
1655	10061	50696
1656	10063	50672
1657	10067	50654
1658	10071	50638
1659	10075	50622
1660	10079	50604
1661	10083	50586
1662	10087	50570
1663	10091	50556
1664	10096	50541
1665	10099	50523
1666	10102	50500
1667	10107	50486
1668	10112	50475
1669	10118	50472
1670	10122	50457
1671	10131	50461
1672	10138	50464
1673	10145	50460
1674	10151	50455
1675	10154	50435
